ID,Year,City,Brand,Spontaneous,Awareness,Trial,P3M,P1M,Comprehension,Brand_Likability,Weekly,Daily,Frequency_Visit,PPA,Spending,Segmentation,NPS_P3M,NPS_P3M_Group
345938,2018,Hồ Chí Minh,Highlands Coffee,Highlands Coffee,Highlands Coffee,Unknown,Unknown,Unknown,Know a little,Highlands Coffee,Unknown,Unknown,0.0,-1.0,0.0,Seg.01 - Mass (<VND 25K),9.0,Promoter
349764,2018,Hồ Chí Minh,Highlands Coffee,Highlands Coffee,Highlands Coffee,Unknown,Unknown,Unknown,Know a little,Highlands Coffee,Unknown,Unknown,0.0,-1.0,0.0,Seg.01 - Mass (<VND 25K),9.0,Promoter
349957,2018,Hồ Chí Minh,Highlands Coffee,Highlands Coffee,Highlands Coffee,Unknown,Unknown,Unknown,Know a little,Highlands Coffee,Unknown,Unknown,0.0,-1.0,0.0,Seg.01 - Mass (<VND 25K),9.0,Promoter
350090,2018,Hồ Chí Minh,Highlands Coffee,Highlands Coffee,Highlands Coffee,Unknown,Unknown,Unknown,Know a little,Highlands Coffee,Unknown,Unknown,0.0,-1.0,0.0,Seg.01 - Mass (<VND 25K),9.0,Promoter
350576,2018,Hồ Chí Minh,Highlands Coffee,Highlands Coffee,Highlands Coffee,Unknown,Unknown,Unknown,Know a little,Highlands Coffee,Unknown,Unknown,0.0,-1.0,0.0,Seg.01 - Mass (<VND 25K),9.0,Promoter
351103,2018,Hồ Chí Minh,Highlands Coffee,Highlands Coffee,Highlands Coffee,Unknown,Unknown,Unknown,Know a little,Highlands Coffee,Unknown,Unknown,0.0,-1.0,0.0,Seg.01 - Mass (<VND 25K),9.0,Promoter
351107,2018,Hồ Chí Minh,Highlands Coffee,Highlands Coffee,Highlands Coffee,Unknown,Unknown,Unknown,Know a little,Unknown,Unknown,Unknown,0.0,-1.0,0.0,Seg.01 - Mass (<VND 25K),-1.0,Detractive
351111,2018,Hồ Chí Minh,Highlands Coffee,Highlands Coffee,Highlands Coffee,Unknown,Unknown,Unknown,Know a little,Highlands Coffee,Unknown,Unknown,0.0,-1.0,0.0,Seg.01 - Mass (<VND 25K),9.0,Promoter
351112,2018,Hồ Chí Minh,Highlands Coffee,Highlands Coffee,Highlands Coffee,Unknown,Unknown,Unknown,Know a little,Highlands Coffee,Unknown,Unknown,0.0,-1.0,0.0,Seg.01 - Mass (<VND 25K),9.0,Promoter
351116,2018,Hồ Chí Minh,Highlands Coffee,Highlands Coffee,Highlands Coffee,Unknown,Unknown,Unknown,Know a little,Highlands Coffee,Unknown,Unknown,0.0,-1.0,0.0,Seg.01 - Mass (<VND 25K),9.0,Promoter
352059,2018,Hồ Chí Minh,Highlands Coffee,Highlands Coffee,Highlands Coffee,Unknown,Unknown,Unknown,Know a little,Highlands Coffee,Unknown,Unknown,0.0,-1.0,0.0,Seg.01 - Mass (<VND 25K),9.0,Promoter
353397,2018,Hồ Chí Minh,Highlands Coffee,Highlands Coffee,Highlands Coffee,Unknown,Unknown,Unknown,Know a little,Highlands Coffee,Unknown,Unknown,0.0,-1.0,0.0,Seg.01 - Mass (<VND 25K),9.0,Promoter
