ID,City,Group_size,Age,TOM,BUMO,BUMO_Previous,MostFavourite,Gender,Age_Group_2,Occupation,Occupation_Group,Year,IncomeBand
348226,Cần Thơ,3.0,29.0,Other 1,Other 1,Unknown,Other 1,Female,25 - 29 y.o.,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Blue Collar,2018,From 4.5 millions to 6.49 millions VND
358485,Hà Nội,3.0,25.0,Other 1,Other 1,Unknown,Other 1,Male,25 - 29 y.o.,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Blue Collar,2018,From 4.5 millions to 6.49 millions VND
360729,Cần Thơ,3.0,25.0,Other 1,Other 1,Unknown,Other 1,Female,25 - 29 y.o.,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Blue Collar,2018,From 4.5 millions to 6.49 millions VND
360737,Cần Thơ,3.0,24.0,Other 1,Other 1,Unknown,Other 1,Male,20 - 24 y.o.,"Skilled Labor (tailor, machinist, carpenter, electrician)",Blue Collar,2018,From 4.5 millions to 6.49 millions VND
361753,Cần Thơ,3.0,26.0,Other 1,Other 1,Unknown,Other 1,Male,25 - 29 y.o.,"Semi-skilled labor (salesperson, waiter, photographer)",Blue Collar,2018,From 4.5 millions to 6.49 millions VND
363279,Cần Thơ,3.0,33.0,Other 1,Other 1,Unknown,Other 1,Male,30 - 34 y.o.,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Blue Collar,2018,From 4.5 millions to 6.49 millions VND
366456,Cần Thơ,3.0,33.0,Other 1,Other 1,Unknown,Other 1,Male,30 - 34 y.o.,"Semi-skilled labor (salesperson, waiter, photographer)",Blue Collar,2018,From 4.5 millions to 6.49 millions VND
367085,Cần Thơ,3.0,34.0,Other 1,Other 1,Unknown,Other 1,Male,30 - 34 y.o.,"Skilled Labor (tailor, machinist, carpenter, electrician)",Blue Collar,2018,From 4.5 millions to 6.49 millions VND
367455,Cần Thơ,3.0,28.0,Other 1,Other 1,Unknown,Other 1,Female,25 - 29 y.o.,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Blue Collar,2018,From 4.5 millions to 6.49 millions VND
370956,Hồ Chí Minh,3.0,29.0,Other 1,Other 1,Unknown,Other 1,Male,25 - 29 y.o.,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Blue Collar,2018,From 4.5 millions to 6.49 millions VND
375849,Đà Nẵng,3.0,28.0,Other 1,Other 1,Unknown,Other 1,Female,25 - 29 y.o.,"Skilled Labor (tailor, machinist, carpenter, electrician)",Blue Collar,2018,From 4.5 millions to 6.49 millions VND
376082,Cần Thơ,3.0,37.0,Other 1,Other 1,Unknown,Other 1,Female,35 - 39 y.o.,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Blue Collar,2018,From 4.5 millions to 6.49 millions VND
377074,Cần Thơ,3.0,29.0,Other 1,Other 1,Unknown,Other 1,Male,25 - 29 y.o.,"Skilled Labor (tailor, machinist, carpenter, electrician)",Blue Collar,2018,From 4.5 millions to 6.49 millions VND
383881,Cần Thơ,3.0,35.0,Other 1,Other 1,Unknown,Other 1,Female,35 - 39 y.o.,"Semi-skilled labor (salesperson, waiter, photographer)",Blue Collar,2018,From 4.5 millions to 6.49 millions VND
389419,Cần Thơ,3.0,36.0,Other 1,Other 1,Unknown,Other 1,Male,35 - 39 y.o.,"Skilled Labor (tailor, machinist, carpenter, electrician)",Blue Collar,2018,From 4.5 millions to 6.49 millions VND
390352,Hồ Chí Minh,3.0,32.0,Other 1,Other 1,Unknown,Other 1,Male,30 - 34 y.o.,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Blue Collar,2018,From 4.5 millions to 6.49 millions VND
391988,Hải Phòng,3.0,45.0,Other 1,Other 1,Unknown,Other 1,Female,45+ y.o.,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Blue Collar,2018,From 4.5 millions to 6.49 millions VND
394547,Hải Phòng,3.0,48.0,Other 1,Other 1,Unknown,Other 1,Female,45+ y.o.,"Skilled Labor (tailor, machinist, carpenter, electrician)",Blue Collar,2018,From 4.5 millions to 6.49 millions VND
395040,Hà Nội,3.0,32.0,Other 1,Other 1,Unknown,Other 1,Female,30 - 34 y.o.,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Blue Collar,2018,From 4.5 millions to 6.49 millions VND
399751,Hà Nội,3.0,34.0,Other 1,Other 1,Unknown,Other 1,Female,30 - 34 y.o.,"Skilled Labor (tailor, machinist, carpenter, electrician)",Blue Collar,2018,From 4.5 millions to 6.49 millions VND
411800,Hà Nội,3.0,26.0,Other 1,Other 1,Unknown,Other 1,Female,25 - 29 y.o.,"Semi-skilled labor (salesperson, waiter, photographer)",Blue Collar,2018,From 4.5 millions to 6.49 millions VND
413830,Hải Phòng,3.0,25.0,Other 1,Other 1,Unknown,Other 1,Male,25 - 29 y.o.,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Blue Collar,2018,From 4.5 millions to 6.49 millions VND
415025,Nha Trang,3.0,33.0,Other 1,Other 1,Unknown,Other 1,Female,30 - 34 y.o.,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Blue Collar,2018,From 4.5 millions to 6.49 millions VND
415529,Cần Thơ,3.0,55.0,Other 1,Other 1,Unknown,Other 1,Male,45+ y.o.,"Skilled Labor (tailor, machinist, carpenter, electrician)",Blue Collar,2018,From 4.5 millions to 6.49 millions VND
