ID,City,Group_size,Age,TOM,BUMO,BUMO_Previous,MostFavourite,Gender,Age_Group_2,Occupation,Occupation_Group,Year,Needstates,Daypart,NeedstateGroup,Brand,Spontaneous,Trial,P3M,P1M,Comprehension,Brand_Likability,Weekly,Daily,Segmentation,NPS_P3M,NPS_P3M_Group,Awareness,Attribute,BrandImage,Visit,Spending,PPA,TOM_Group,BUMO_Group,BUMO_Previous_Group,MostFavourite_Group,Awareness_flag,Spontaneous_flag,Trial_flag,P3M_flag,P1M_flag,Weekly_flag,Daily_flag,Brand_Loyalty,Brand_Switcher,Funnel_Depth,Awareness_Usage_Gap,Need_is_Drinking
91439,Hồ Chí Minh,4.0,20.0,Highlands Coffee,Highlands Coffee,Don't have any brands,Highlands Coffee,Female,20 - 24 y.o.,Pupil / Student,None Working,2017,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages,Highlands Coffee,Highlands Coffee,Highlands Coffee,Highlands Coffee,Highlands Coffee,Know a little,Highlands Coffee,Unknown,Unknown,Seg.04 - Super Premium (VND 100K+),9.0,Promoter,Highlands Coffee,Good tea taste,Highlands Coffee,3.0,150.0,50.0,Highlands Coffee,Highlands Coffee,Others,Highlands Coffee,1,1,1,1,1,0,0,3,1,5,0,1
92022,Hồ Chí Minh,3.0,48.0,Highlands Coffee,Highlands Coffee,Don't have any brands,Highlands Coffee,Male,45+ y.o.,Freelance,Self Employed - Small Business and Freelance,2017,Socializing,Overall,Socializing,Highlands Coffee,Highlands Coffee,Highlands Coffee,Highlands Coffee,Highlands Coffee,Know a little,Highlands Coffee,Highlands Coffee,Unknown,Seg.04 - Super Premium (VND 100K+),10.0,Promoter,Highlands Coffee,Good tea taste,Highlands Coffee,4.0,144.0,36.0,Highlands Coffee,Highlands Coffee,Others,Highlands Coffee,1,1,1,1,1,1,0,3,1,6,0,0
92078,Hồ Chí Minh,5.0,24.0,Highlands Coffee,Highlands Coffee,Don't have any brands,Highlands Coffee,Female,20 - 24 y.o.,Officer - Staff level,White Collar,2017,Socializing,Overall,Socializing,Highlands Coffee,Highlands Coffee,Highlands Coffee,Highlands Coffee,Highlands Coffee,Know a little,Highlands Coffee,Highlands Coffee,Unknown,Seg.04 - Super Premium (VND 100K+),9.0,Promoter,Highlands Coffee,Good tea taste,Highlands Coffee,4.0,400.0,100.0,Highlands Coffee,Highlands Coffee,Others,Highlands Coffee,1,1,1,1,1,1,0,3,1,6,0,0
94027,Hồ Chí Minh,4.0,31.0,Highlands Coffee,Highlands Coffee,Don't have any brands,Highlands Coffee,Female,30 - 34 y.o.,Officer - Staff level,White Collar,2017,Drinking coffee,Overall,Drinking beverages,Highlands Coffee,Highlands Coffee,Highlands Coffee,Highlands Coffee,Highlands Coffee,Know a little,Highlands Coffee,Highlands Coffee,Unknown,Seg.04 - Super Premium (VND 100K+),9.0,Promoter,Highlands Coffee,Feel I belong here,Highlands Coffee,8.0,400.0,50.0,Highlands Coffee,Highlands Coffee,Others,Highlands Coffee,1,1,1,1,1,1,0,3,1,6,0,1
94132,Hồ Chí Minh,4.0,24.0,Highlands Coffee,Highlands Coffee,Don't have any brands,Highlands Coffee,Male,20 - 24 y.o.,Freelance,Self Employed - Small Business and Freelance,2017,Drinking coffee,Overall,Drinking beverages,Highlands Coffee,Highlands Coffee,Highlands Coffee,Highlands Coffee,Highlands Coffee,Know a little,Highlands Coffee,Highlands Coffee,Unknown,Seg.04 - Super Premium (VND 100K+),9.0,Promoter,Highlands Coffee,Good tea taste,Highlands Coffee,8.0,480.0,60.0,Highlands Coffee,Highlands Coffee,Others,Highlands Coffee,1,1,1,1,1,1,0,3,1,6,0,1
94136,Hồ Chí Minh,2.0,27.0,Highlands Coffee,Highlands Coffee,Don't have any brands,Highlands Coffee,Male,25 - 29 y.o.,Freelance,Self Employed - Small Business and Freelance,2017,Drinking coffee,Overall,Drinking beverages,Highlands Coffee,Highlands Coffee,Highlands Coffee,Highlands Coffee,Highlands Coffee,Know a little,Highlands Coffee,Highlands Coffee,Unknown,Seg.04 - Super Premium (VND 100K+),9.0,Promoter,Highlands Coffee,Recommended by others,Highlands Coffee,7.0,280.0,40.0,Highlands Coffee,Highlands Coffee,Others,Highlands Coffee,1,1,1,1,1,1,0,3,1,6,0,1
94137,Hồ Chí Minh,2.0,40.0,Highlands Coffee,Highlands Coffee,Don't have any brands,Highlands Coffee,Female,40 - 44 y.o.,"Skilled Labor (tailor, machinist, carpenter, electrician)",Blue Collar,2017,Drinking coffee,Overall,Drinking beverages,Highlands Coffee,Highlands Coffee,Highlands Coffee,Highlands Coffee,Highlands Coffee,Know a little,Highlands Coffee,Highlands Coffee,Highlands Coffee,Seg.04 - Super Premium (VND 100K+),10.0,Promoter,Highlands Coffee,Good tea taste,Highlands Coffee,30.0,2100.0,70.0,Highlands Coffee,Highlands Coffee,Others,Highlands Coffee,1,1,1,1,1,1,1,3,1,7,0,1
94138,Hồ Chí Minh,2.0,21.0,Highlands Coffee,Highlands Coffee,Don't have any brands,Highlands Coffee,Female,20 - 24 y.o.,Pupil / Student,None Working,2017,Drinking coffee,Overall,Drinking beverages,Highlands Coffee,Highlands Coffee,Highlands Coffee,Highlands Coffee,Highlands Coffee,Know a little,Highlands Coffee,Unknown,Unknown,Seg.04 - Super Premium (VND 100K+),9.0,Promoter,Highlands Coffee,Good tea taste,Highlands Coffee,3.0,180.0,60.0,Highlands Coffee,Highlands Coffee,Others,Highlands Coffee,1,1,1,1,1,0,0,3,1,5,0,1
96122,Hồ Chí Minh,3.0,28.0,Highlands Coffee,Highlands Coffee,Don't have any brands,Highlands Coffee,Female,25 - 29 y.o.,Officer - Staff level,White Collar,2017,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages,Highlands Coffee,Highlands Coffee,Highlands Coffee,Highlands Coffee,Highlands Coffee,Know a little,Highlands Coffee,Highlands Coffee,Unknown,Seg.04 - Super Premium (VND 100K+),9.0,Promoter,Highlands Coffee,Good tea taste,Highlands Coffee,5.0,275.0,55.0,Highlands Coffee,Highlands Coffee,Others,Highlands Coffee,1,1,1,1,1,1,0,3,1,6,0,1
96567,Hồ Chí Minh,4.0,33.0,Highlands Coffee,Highlands Coffee,Don't have any brands,Highlands Coffee,Female,30 - 34 y.o.,Officer - Staff level,White Collar,2017,Drinking coffee,Overall,Drinking beverages,Highlands Coffee,Highlands Coffee,Highlands Coffee,Highlands Coffee,Highlands Coffee,Know a little,Highlands Coffee,Highlands Coffee,Unknown,Seg.04 - Super Premium (VND 100K+),8.0,Passive,Highlands Coffee,Good tea taste,Highlands Coffee,4.0,48.0,12.0,Highlands Coffee,Highlands Coffee,Others,Highlands Coffee,1,1,1,1,1,1,0,3,1,6,0,1
103003,Hồ Chí Minh,4.0,44.0,Highlands Coffee,Highlands Coffee,Don't have any brands,Highlands Coffee,Male,40 - 44 y.o.,Officer - Staff level,White Collar,2017,Drinking coffee,Overall,Drinking beverages,Highlands Coffee,Highlands Coffee,Highlands Coffee,Highlands Coffee,Unknown,Know a little,Highlands Coffee,Unknown,Unknown,Seg.04 - Super Premium (VND 100K+),10.0,Promoter,Highlands Coffee,Good tea taste,Highlands Coffee,12.0,264.0,22.0,Highlands Coffee,Highlands Coffee,Others,Highlands Coffee,1,1,1,1,0,0,0,3,1,4,0,1
106514,Hải Phòng,5.0,29.0,Highlands Coffee,Highlands Coffee,Don't have any brands,Highlands Coffee,Female,25 - 29 y.o.,Housewife,None Working,2017,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages,Highlands Coffee,Highlands Coffee,Highlands Coffee,Highlands Coffee,Highlands Coffee,Know a little,Highlands Coffee,Unknown,Unknown,Seg.04 - Super Premium (VND 100K+),8.0,Passive,Highlands Coffee,Recommended by others,Highlands Coffee,3.0,105.0,35.0,Highlands Coffee,Highlands Coffee,Others,Highlands Coffee,1,1,1,1,1,0,0,3,1,5,0,1
107625,Hồ Chí Minh,4.0,41.0,Highlands Coffee,Highlands Coffee,Don't have any brands,Highlands Coffee,Male,40 - 44 y.o.,Officer - Staff level,White Collar,2017,Drinking coffee,Overall,Drinking beverages,Highlands Coffee,Highlands Coffee,Highlands Coffee,Highlands Coffee,Highlands Coffee,Know a little,Highlands Coffee,Highlands Coffee,Unknown,Seg.04 - Super Premium (VND 100K+),9.0,Promoter,Highlands Coffee,Good tea taste,Highlands Coffee,8.0,400.0,50.0,Highlands Coffee,Highlands Coffee,Others,Highlands Coffee,1,1,1,1,1,1,0,3,1,6,0,1
108656,Hồ Chí Minh,3.0,27.0,Highlands Coffee,Highlands Coffee,Don't have any brands,Highlands Coffee,Female,25 - 29 y.o.,"Small Business (small shop owner, grocery store, etc.)",Self Employed - Small Business and Freelance,2017,Drinking coffee,Overall,Drinking beverages,Highlands Coffee,Highlands Coffee,Highlands Coffee,Highlands Coffee,Highlands Coffee,Know a little,Highlands Coffee,Highlands Coffee,Unknown,Seg.04 - Super Premium (VND 100K+),9.0,Promoter,Highlands Coffee,Good tea taste,Highlands Coffee,8.0,280.0,35.0,Highlands Coffee,Highlands Coffee,Others,Highlands Coffee,1,1,1,1,1,1,0,3,1,6,0,1
